rank,ticker,name,quote_type,currency,market_cap,price,sector,industry
1,NVDA,NVIDIA Corporation,EQUITY,USD,4601705136128,189.005,Technology,Semiconductors
2,AAPL,Apple Inc.,EQUITY,USD,4042967220224,272.43,Technology,Consumer Electronics
3,GOOGL,Alphabet Inc.,EQUITY,USD,3802116128768,313.91,Communication Services,Internet Content & Information
4,MSFT,Microsoft Corporation,EQUITY,USD,3610670268416,485.7513,Technology,Software - Infrastructure
5,AMZN,"Amazon.com, Inc.",EQUITY,USD,2478954250240,231.89,Consumer Cyclical,Internet Retail
6,BTC-USD,Bitcoin USD,CRYPTOCURRENCY,USD,1753668255744,87816.875,,
7,META,"Meta Platforms, Inc.",EQUITY,USD,1672193245184,663.4299,Communication Services,Internet Content & Information
8,AVGO,Broadcom Inc.,EQUITY,USD,1645458882560,347.05,Technology,Semiconductors
9,TSLA,"Tesla, Inc.",EQUITY,USD,1510437421056,454.155,Consumer Cyclical,Auto Manufacturers
10,BRK-B,Berkshire Hathaway Inc.,EQUITY,USD,1089950253056,505.23,Financial Services,Insurance - Diversified
11,LLY,Eli Lilly and Company,EQUITY,USD,969069756416,1081.0,Healthcare,Drug Manufacturers - General
12,WMT,Walmart Inc.,EQUITY,USD,890368163840,111.675,Consumer Defensive,Discount Stores
13,JPM,JPMorgan Chase & Co.,EQUITY,USD,889325420544,323.42,Financial Services,Banks - Diversified
14,VTI,Vanguard Total Stock Market Index Fund ETF Shares,ETF,USD,699009531904,337.08,,
15,V,Visa Inc.,EQUITY,USD,681118597120,352.93,Financial Services,Credit Services
16,SPY,SPDR S&P 500 ETF,ETF,USD,629116633088,685.475,,
17,ORCL,Oracle Corporation,EQUITY,USD,564311490560,196.41,Technology,Software - Infrastructure
18,MA,Mastercard Incorporated,EQUITY,USD,520267857920,575.51,Financial Services,Credit Services
19,XOM,Exxon Mobil Corporation,EQUITY,USD,512825982976,120.29,Energy,Oil & Gas Integrated
20,JNJ,Johnson & Johnson,EQUITY,USD,498543394816,206.925,Healthcare,Drug Manufacturers - General
21,ABBV,AbbVie Inc.,EQUITY,USD,405261287424,229.3,Healthcare,Drug Manufacturers - General
22,NFLX,"Netflix, Inc.",EQUITY,USD,395935481856,93.44,Communication Services,Entertainment
23,COST,Costco Wholesale Corporation,EQUITY,USD,383823609856,864.5499,Consumer Defensive,Discount Stores
24,ETH-USD,Ethereum USD,CRYPTOCURRENCY,USD,358362349568,2969.1584,,
25,AMD,"Advanced Micro Devices, Inc.",EQUITY,USD,351917473792,216.16,Technology,Semiconductors
26,HD,"The Home Depot, Inc.",EQUITY,USD,344586223616,346.1399,Consumer Cyclical,Home Improvement Retail
27,PG,The Procter & Gamble Company,EQUITY,USD,336421388288,143.74,Consumer Defensive,Household & Personal Products
28,CVX,Chevron Corporation,EQUITY,USD,306414190592,152.08,Energy,Oil & Gas Integrated
29,CSCO,"Cisco Systems, Inc.",EQUITY,USD,304787423232,77.14,Technology,Communication Equipment
30,KO,The Coca-Cola Company,EQUITY,USD,301536444416,70.065,Consumer Defensive,Beverages - Non-Alcoholic
31,UNH,UnitedHealth Group Incorporated,EQUITY,USD,299741970432,330.9,Healthcare,Healthcare Plans
32,MRK,"Merck & Co., Inc.",EQUITY,USD,263591067648,105.53,Healthcare,Drug Manufacturers - General
33,CRM,"Salesforce, Inc.",EQUITY,USD,252518006784,265.25,Technology,Software - Application
34,QQQ,Invesco QQQ Trust,ETF,USD,242832539648,617.7373,,
35,TMO,Thermo Fisher Scientific Inc.,EQUITY,USD,218996473856,582.89,Healthcare,Diagnostics & Research
36,MCD,McDonald's Corporation,EQUITY,USD,218648395776,306.4,Consumer Cyclical,Restaurants
37,DIS,The Walt Disney Company,EQUITY,USD,205180207104,114.12,Communication Services,Entertainment
38,PEP,"PepsiCo, Inc.",EQUITY,USD,196503650304,143.53,Consumer Defensive,Beverages - Non-Alcoholic
39,QCOM,QUALCOMM Incorporated,EQUITY,USD,185900908544,172.29,Technology,Semiconductors
40,INTC,Intel Corporation,EQUITY,USD,178612649984,37.445,Technology,Semiconductors
41,ACN,Accenture plc,EQUITY,USD,167394082816,269.93,Technology,Information Technology Services
42,TXN,Texas Instruments Incorporated,EQUITY,USD,158944444416,174.83,Technology,Semiconductors
43,ADBE,Adobe Inc.,EQUITY,USD,148928184320,351.0801,Technology,Software - Application
44,BNB-USD,BNB USD,CRYPTOCURRENCY,USD,118736625664,862.06824,,
45,XRP-USD,XRP USD,CRYPTOCURRENCY,USD,112650960896,1.8565862,,
46,GLD,SPDR Gold Shares,ETF,USD,103781613568,398.7,,
47,NKE,"NIKE, Inc.",EQUITY,USD,92239765504,62.4,Consumer Cyclical,Footwear & Accessories
48,EFA,iShares MSCI EAFE ETF,ETF,USD,90091085824,96.005,,
49,SOL-USD,Solana USD,CRYPTOCURRENCY,USD,70371262464,125.01522,,
50,IWM,iShares Russell 2000 ETF,ETF,USD,69488205824,247.245,,
