rank,ticker,name,quote_type,currency,market_cap,price,sector,industry
1,ORCL,Oracle Corporation,EQUITY,USD,530026528768,184.29,Technology,Software - Infrastructure
2,PLTR,Palantir Technologies Inc.,EQUITY,USD,307982663680,128.47,Technology,Software - Infrastructure
3,PANW,"Palo Alto Networks, Inc.",EQUITY,USD,234540695552,287.78,Technology,Software - Infrastructure
4,SAP,SAP SE,EQUITY,USD,182993879040,155.22,Technology,Software - Application
5,CRWD,"CrowdStrike Holdings, Inc.",EQUITY,USD,174341259264,684.86,Technology,Software - Infrastructure
6,SHOP,Shopify Inc.,EQUITY,USD,141249708032,108.85,Technology,Software - Application
7,CRM,"Salesforce, Inc.",EQUITY,USD,124307816448,151.78,Technology,Software - Application
8,NOW,"ServiceNow, Inc.",EQUITY,USD,98015518720,95.04,Technology,Software - Application
9,SNOW,Snowflake Inc.,EQUITY,USD,80511713280,232.29,Technology,Software - Application
10,NET,"Cloudflare, Inc.",EQUITY,USD,79527755776,224.06,Technology,Software - Infrastructure
11,DDOG,"Datadog, Inc.",EQUITY,USD,79379120128,223.0,Technology,Software - Application
12,ADBE,Adobe Inc.,EQUITY,USD,77576101888,195.16,Technology,Software - Application
13,INTU,Intuit Inc.,EQUITY,USD,73034375168,267.0,Technology,Software - Application
14,WDAY,"Workday, Inc.",EQUITY,USD,28878608384,116.93,Technology,Software - Application
15,MDB,"MongoDB, Inc.",EQUITY,USD,26763724800,332.75,Technology,Software - Infrastructure
16,ZM,"Zoom Communications, Inc.",EQUITY,USD,25323534336,86.36,Technology,Software - Application
17,VEEV,Veeva Systems Inc.,EQUITY,USD,24902557696,153.3,Healthcare,Health Information Services
18,TEAM,Atlassian Corporation,EQUITY,USD,20991676416,82.72,Technology,Software - Application
19,OKTA,"Okta, Inc.",EQUITY,USD,20476243968,117.81,Technology,Software - Infrastructure
20,ZS,"Zscaler, Inc.",EQUITY,USD,20189433856,124.85,Technology,Software - Infrastructure
21,HUBS,"HubSpot, Inc.",EQUITY,USD,9011100672,176.03,Technology,Software - Application
22,DOCU,"DocuSign, Inc.",EQUITY,USD,8300362240,43.47,Technology,Software - Application
23,ESTC,Elastic N.V.,EQUITY,USD,6130028032,58.97,Technology,Software - Application
24,PATH,"UiPath, Inc.",EQUITY,USD,5321095168,10.27,Technology,Software - Infrastructure
25,GTLB,GitLab Inc.,EQUITY,USD,4485983744,26.56,Technology,Software - Infrastructure
